t,xa,xb
0.000000E0, 1.257298E0, 9.270355E1
1.000013E-1, 4.046858E0, 9.270355E1
2.000026E-1, 1.076281E1, 9.270355E1
3.000039E-1, 1.649969E1, 9.270355E1
4.000052E-1, 2.321970E1, 9.270355E1
5.000065E-1, 2.944814E1, 9.270355E1
5.999078E-1, 3.600227E1, 9.270355E1
6.999091E-1, 4.223071E1, 9.270355E1
7.999104E-1, 4.845713E1, 9.270355E1
8.999117E-1, 5.484943E1, 9.270355E1
9.999130E-1, 6.107787E1, 9.270355E1
1.099914E0, 6.779382E1, 9.270355E1
1.199916E0, 7.385841E1, 9.286740E1
1.299917E0, 7.565877E1, 9.581676E1
1.399918E0, 7.746521E1, 9.811273E1
1.499919E0, 7.926759E1, 1.007323E2
1.599921E0, 8.090613E1, 1.035179E2
1.699922E0, 8.303419E1, 1.059777E2
1.799923E0, 8.483860E1, 1.085993E2
1.899725E0, 8.680484E1, 1.113869E2
1.999826E0, 8.860722E1, 1.138426E2
2.099827E0, 9.040960E1, 1.163024E2
2.199829E0, 9.253969E1, 1.187602E2
2.299830E0, 9.434208E1, 1.213819E2
2.399831E0, 9.631034E1, 1.241674E2
